Alameda, Barack Obama, Democrat, 78.76
Alpine, Barack Obama, Democrat, 60.98
Amador, John McCain, Republican, 56.15
Butte, Barack Obama, Democrat, 49.85
Calaveras, John McCain, Republican, 55.07
Colusa, John McCain, Republican, 58.07
Contra Costa, Barack Obama, Democrat, 67.97
Del Norte, John McCain, Republican, 52.11
El Dorado, John McCain, Republican, 54.14
Fresno, Barack Obama, Democrat, 50.21
Glenn, John McCain, Republican, 59.82
Humboldt, Barack Obama, Democrat, 62.28
Imperial, Barack Obama, Democrat, 62.24
Inyo, John McCain, Republican, 53.01
Kern, John McCain, Republican, 57.89
Kings, John McCain, Republican, 56.14
Lake, Barack Obama, Democrat, 58.16
Lassen, John McCain, Republican, 65.72
Los Angeles, Barack Obama, Democrat, 69.19
Madera, John McCain, Republican, 55.68
Marin, Barack Obama, Democrat, 77.98
Mariposa, John McCain, Republican, 54.9
Mendocino, Barack Obama, Democrat, 69.58
Merced, Barack Obama, Democrat, 53.33
Modoc, John McCain, Republican, 67.44
Mono, Barack Obama, Democrat, 55.52
Monterey, Barack Obama, Democrat, 68.15
Napa, Barack Obama, Democrat, 65.14
Nevada, Barack Obama, Democrat, 51.43
Orange, John McCain, Republican, 50.19
Placer, John McCain, Republican, 54.68
Plumas, John McCain, Republican, 54.72
Riverside, Barack Obama, Democrat, 50.21
Sacramento, Barack Obama, Democrat, 58.49
San Benito, Barack Obama, Democrat, 60.48
San Bernardino, Barack Obama, Democrat, 52.07
San Diego, Barack Obama, Democrat, 54.15
San Francisco, Barack Obama, Democrat, 84.16
San Joaquin, Barack Obama, Democrat, 54.44
San Luis Obispo, Barack Obama, Democrat, 51.39
San Mateo, Barack Obama, Democrat, 73.47
Santa Barbara, Barack Obama, Democrat, 60.38
Santa Clara, Barack Obama, Democrat, 69.45
Santa Cruz, Barack Obama, Democrat, 77.46
Shasta, John McCain, Republican, 61.68
Sierra, John McCain, Republican, 58.16
Siskiyou, John McCain, Republican, 53.66
Solano, Barack Obama, Democrat, 63.42
Sonoma, Barack Obama, Democrat, 73.64
Stanislaus, Barack Obama, Democrat, 49.86
Sutter, John McCain, Republican, 57.41
Tehama, John McCain, Republican, 60.74
Trinity, Barack Obama, Democrat, 50.72
Tulare, John McCain, Republican, 56.81
Tuolumne, John McCain, Republican, 55.14
Ventura, Barack Obama, Democrat, 55.21
Yolo, Barack Obama, Democrat, 67.07
Yuba, John McCain, Republican, 56.1
