Alcona, Richard M Nixon, Republican, 66.25
Alger, John F Kennedy, Democrat, 58.17
Allegan, Richard M Nixon, Republican, 70.98
Alpena, Richard M Nixon, Republican, 56.41
Antrim, Richard M Nixon, Republican, 67.26
Arenac, Richard M Nixon, Republican, 55.34
Baraga, John F Kennedy, Democrat, 51.2
Barry, Richard M Nixon, Republican, 67.54
Bay, John F Kennedy, Democrat, 52.26
Benzie, Richard M Nixon, Republican, 65.45
Berrien, Richard M Nixon, Republican, 60.85
Branch, Richard M Nixon, Republican, 64.41
Calhoun, Richard M Nixon, Republican, 57.5
Cass, Richard M Nixon, Republican, 56.79
Charlevoix, Richard M Nixon, Republican, 62.11
Cheboygan, Richard M Nixon, Republican, 56.17
Chippewa, Richard M Nixon, Republican, 55.23
Clare, Richard M Nixon, Republican, 70.49
Clinton, Richard M Nixon, Republican, 67.85
Crawford, Richard M Nixon, Republican, 65.04
Delta, John F Kennedy, Democrat, 54.98
Dickinson, John F Kennedy, Democrat, 55.4
Eaton, Richard M Nixon, Republican, 66.97
Emmet, Richard M Nixon, Republican, 63.55
Genesee, Richard M Nixon, Republican, 50.82
Gladwin, Richard M Nixon, Republican, 69.65
Gogebic, John F Kennedy, Democrat, 56.88
Grand Traverse, Richard M Nixon, Republican, 63.65
Gratiot, Richard M Nixon, Republican, 71.75
Hillsdale, Richard M Nixon, Republican, 71.19
Houghton, John F Kennedy, Democrat, 50.7
Huron, Richard M Nixon, Republican, 62.34
Ingham, Richard M Nixon, Republican, 62.89
Ionia, Richard M Nixon, Republican, 61.81
Iosco, Richard M Nixon, Republican, 62.74
Iron, John F Kennedy, Democrat, 57.09
Isabella, Richard M Nixon, Republican, 63.88
Jackson, Richard M Nixon, Republican, 62.14
Kalamazoo, Richard M Nixon, Republican, 63.47
Kalkaska, Richard M Nixon, Republican, 65.77
Kent, Richard M Nixon, Republican, 60.7
Keweenaw, Richard M Nixon, Republican, 50.93
Lake, Richard M Nixon, Republican, 52.27
Lapeer, Richard M Nixon, Republican, 67.13
Leelanau, Richard M Nixon, Republican, 60.05
Lenawee, Richard M Nixon, Republican, 64.65
Livingston, Richard M Nixon, Republican, 64.68
Luce, Richard M Nixon, Republican, 64.94
Mackinac, Richard M Nixon, Republican, 59.88
Macomb, John F Kennedy, Democrat, 62.83
Manistee, Richard M Nixon, Republican, 54.08
Marquette, John F Kennedy, Democrat, 51
Mason, Richard M Nixon, Republican, 58.21
Mecosta, Richard M Nixon, Republican, 68.88
Menominee, John F Kennedy, Democrat, 53.55
Midland, Richard M Nixon, Republican, 67.56
Missaukee, Richard M Nixon, Republican, 79.82
Monroe, John F Kennedy, Democrat, 51.23
Montcalm, Richard M Nixon, Republican, 67.72
Montmorency, Richard M Nixon, Republican, 64.32
Muskegon, Richard M Nixon, Republican, 52.98
Newaygo, Richard M Nixon, Republican, 68.55
Oakland, Richard M Nixon, Republican, 54.27
Oceana, Richard M Nixon, Republican, 62.38
Ogemaw, Richard M Nixon, Republican, 58.65
Ontonagon, Richard M Nixon, Republican, 50.63
Osceola, Richard M Nixon, Republican, 76.33
Oscoda, Richard M Nixon, Republican, 71.85
Otsego, Richard M Nixon, Republican, 56.04
Ottawa, Richard M Nixon, Republican, 75.26
Presque Isle, Richard M Nixon, Republican, 52.66
Roscommon, Richard M Nixon, Republican, 68.93
Saginaw, Richard M Nixon, Republican, 55.68
Sanilac, Richard M Nixon, Republican, 72.47
Schoolcraft, Richard M Nixon, Republican, 50.79
Shiawassee, Richard M Nixon, Republican, 60.86
St. Clair, Richard M Nixon, Republican, 59.79
St. Joseph, Richard M Nixon, Republican, 69.13
Tuscola, Richard M Nixon, Republican, 68.93
Van Buren, Richard M Nixon, Republican, 64.21
Washtenaw, Richard M Nixon, Republican, 60.99
Wayne, John F Kennedy, Democrat, 65.99
Wexford, Richard M Nixon, Republican, 65
